scene,scene_display,camera,profile,profile_bits,guard_mode,delta_psnr_vs_standard,delta_ssim_vs_standard,delta_lpips_vs_standard,psnr_gt,standard_psnr_gt,ssim_gt,standard_ssim_gt,lpips_gt,standard_lpips_gt,psnr_standard_ref,final_non_pd,saturations,unexplained_saturations,dangerous_negative_saturations,underflows,guard_eigen_floor_triggered,guard_diagonal_floor_triggered,guard_b_clamp_triggered
garden,garden,10,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.01802825927734375,-0.00064849853515625,-0.00016327202320098877,26.21698760986328,26.235015869140625,0.8323120474815369,0.8329605460166931,0.21970750391483307,0.21987077593803406,50.76829528808594,0,34389790,0,0,1392278,,,
garden,garden,11,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.015527725219726562,-0.0004976987838745117,-9.72449779510498e-05,27.314382553100586,27.329910278320312,0.8313226103782654,0.8318203091621399,0.23065587878227234,0.2307531237602234,50.537567138671875,0,34364660,0,0,1569821,,,
garden,garden,12,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.03706169128417969,-0.0006530284881591797,-0.00011838972568511963,26.17817497253418,26.21523666381836,0.7993717193603516,0.8000247478485107,0.23577730357646942,0.23589569330215454,49.9578857421875,0,34904912,0,0,1362921,,,
garden,garden,13,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.025793075561523438,-0.0007624030113220215,0.00019578635692596436,28.38690185546875,28.412694931030273,0.8379842638969421,0.8387466669082642,0.20739416778087616,0.2071983814239502,50.463653564453125,0,33937455,0,0,1602097,,,
garden,garden,14,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.016855239868164062,-0.0006758570671081543,-5.778670310974121e-05,28.78908348083496,28.805938720703125,0.8448030352592468,0.845478892326355,0.215780109167099,0.21583789587020874,50.231727600097656,0,32791273,0,0,1422903,,,
garden,garden,15,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.019495010375976562,-0.0005478858947753906,-0.0001865774393081665,24.80592918395996,24.825424194335938,0.762956976890564,0.7635048627853394,0.23907843232154846,0.23926500976085663,49.92289352416992,0,33754726,0,0,1447196,,,
garden,garden,16,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.00601959228515625,-0.0006014108657836914,3.166496753692627e-05,26.79578971862793,26.801809310913086,0.7922127842903137,0.7928141951560974,0.23633864521980286,0.23630698025226593,50.30527877807617,0,32199323,0,0,1540614,,,
garden,garden,17,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.030691146850585938,-0.000671088695526123,-8.498132228851318e-05,29.075912475585938,29.106603622436523,0.8524599671363831,0.8531310558319092,0.2156831920146942,0.21576817333698273,51.137977600097656,0,33311429,0,0,1309019,,,
garden,garden,18,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,0.48862457275390625,6.377696990966797e-05,-0.00043839216232299805,26.688156127929688,26.19953155517578,0.8299402594566345,0.8298764824867249,0.24647599458694458,0.24691438674926758,42.941490173339844,0,33788959,0,0,1229878,,,
garden,garden,19,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,0.06360054016113281,-0.00048786401748657227,-0.00023734569549560547,27.35207176208496,27.288471221923828,0.8395003080368042,0.8399881720542908,0.25235751271247864,0.25259485840797424,47.483116149902344,0,35475880,0,0,1292400,,,
garden,garden,20,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,0.09505653381347656,-0.0007496476173400879,0.00029084086418151855,28.135740280151367,28.04068374633789,0.8407320976257324,0.8414817452430725,0.2121686488389969,0.21187780797481537,47.57838439941406,0,31318395,0,0,1615546,,,
garden,garden,21,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.028636932373046875,-0.000685572624206543,-3.342330455780029e-05,25.244159698486328,25.272796630859375,0.7756726145744324,0.7763581871986389,0.23929834365844727,0.23933176696300507,49.61194610595703,0,30584639,0,0,1534266,,,
garden,garden,22,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,0.10775184631347656,-0.0004488825798034668,-0.000342637300491333,26.540578842163086,26.43282699584961,0.8075555562973022,0.8080044388771057,0.23635298013687134,0.23669561743736267,43.066436767578125,0,31415186,0,0,1408939,,,
garden,garden,23,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.06785202026367188,-0.0012720823287963867,0.00017689168453216553,28.0380859375,28.105937957763672,0.8539798855781555,0.8552519679069519,0.20807436108589172,0.20789746940135956,49.35247802734375,0,30010524,0,0,1776706,,,
hotdog,hotdog,1,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.021541595458984375,-0.0001347064971923828,4.423409700393677e-05,35.75499725341797,35.77653884887695,0.9717988967895508,0.9719336032867432,0.04639173299074173,0.04634749889373779,58.70725631713867,0,4427332,0,0,142389,,,
hotdog,hotdog,2,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.020626068115234375,-0.00012946128845214844,3.218650817871094e-05,35.69343948364258,35.71406555175781,0.9719542860984802,0.9720837473869324,0.04666050523519516,0.04662831872701645,58.756744384765625,0,4394073,0,0,132004,,,
hotdog,hotdog,3,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.00658416748046875,-9.560585021972656e-05,1.4308840036392212e-05,35.78480529785156,35.79138946533203,0.9723782539367676,0.9724738597869873,0.045584212988615036,0.045569904148578644,58.6258659362793,0,4361961,0,0,125918,,,
hotdog,hotdog,4,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.01578521728515625,-9.161233901977539e-05,-0.0001334361732006073,35.726173400878906,35.74195861816406,0.9725825786590576,0.9726741909980774,0.04554647579789162,0.045679911971092224,58.6466064453125,0,4333106,0,0,139842,,,
hotdog,hotdog,5,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.010833740234375,-8.094310760498047e-05,-2.528354525566101e-05,35.787696838378906,35.79853057861328,0.9730420112609863,0.9731229543685913,0.04503373056650162,0.04505901411175728,58.56083297729492,0,4310314,0,0,141346,,,
hotdog,hotdog,6,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.0274505615234375,-0.00012367963790893555,-1.4491379261016846e-05,35.94072723388672,35.968177795410156,0.9739920496940613,0.9741157293319702,0.044825389981269836,0.04483988136053085,58.414451599121094,0,4293071,0,0,139231,,,
