scene,scene_display,camera,profile,profile_bits,guard_mode,delta_psnr_vs_standard,delta_ssim_vs_standard,delta_lpips_vs_standard,psnr_gt,standard_psnr_gt,ssim_gt,standard_ssim_gt,lpips_gt,standard_lpips_gt,psnr_standard_ref,final_non_pd,saturations,unexplained_saturations,dangerous_negative_saturations,underflows,guard_eigen_floor_triggered,guard_diagonal_floor_triggered,guard_b_clamp_triggered
lego,Lego,56,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.01342010498046875,-0.00011235475540161133,1.3675540685653687e-05,34.03289031982422,34.04631042480469,0.9575515985488892,0.9576639533042908,0.05927922949194908,0.05926555395126343,56.96202850341797,0,3251969,0,0,160115,0,0,0
lego,Lego,57,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.02191925048828125,-0.0001341104507446289,-6.02230429649353e-05,34.034141540527344,34.056060791015625,0.958301305770874,0.9584354162216187,0.058427490293979645,0.05848771333694458,56.85029220581055,0,3211369,0,0,149172,0,0,0
lego,Lego,58,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.016841888427734375,-0.00011307001113891602,-8.094310760498047e-05,34.00249481201172,34.01933670043945,0.9596737027168274,0.9597867727279663,0.058427006006240845,0.058507949113845825,56.511207580566406,0,3176140,0,0,137936,0,0,0
lego,Lego,59,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.01642608642578125,-0.0001322627067565918,1.043081283569336e-07,33.95466613769531,33.971092224121094,0.9607858657836914,0.960918128490448,0.05603035166859627,0.05603024736046791,56.41033172607422,0,3147817,0,0,163133,0,0,0
lego,Lego,60,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.01190948486328125,-0.00011974573135375977,-0.00010505691170692444,34.02165222167969,34.03356170654297,0.9627651572227478,0.9628849029541016,0.05375196784734726,0.053857024759054184,56.55025863647461,0,3128962,0,0,166303,0,0,0
lego,Lego,61,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.005878448486328125,-8.362531661987305e-05,-4.756078124046326e-05,33.97016143798828,33.97603988647461,0.9640382528305054,0.9641218781471252,0.05064161494374275,0.050689175724983215,56.226654052734375,0,3105997,0,0,171663,0,0,0
lego,Lego,62,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.008331298828125,-9.47713851928711e-05,-0.00012595206499099731,33.7512321472168,33.75956344604492,0.9648093581199646,0.9649041295051575,0.04777822643518448,0.047904178500175476,56.13353729248047,0,3091040,0,0,163610,0,0,0
lego,Lego,63,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.014301300048828125,-0.00011616945266723633,1.237913966178894e-05,33.619529724121094,33.63383102416992,0.9650604128837585,0.9651765823364258,0.047833316028118134,0.047820936888456345,55.99846649169922,0,3085310,0,0,150441,0,0,0
lego,Lego,64,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.009441375732421875,-8.618831634521484e-05,-5.672872066497803e-05,33.52561950683594,33.53506088256836,0.965555727481842,0.9656419157981873,0.04659446328878403,0.046651192009449005,55.928993225097656,0,3076224,0,0,155102,0,0,0
lego,Lego,65,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.01461029052734375,-9.1552734375e-05,-9.931996464729309e-05,33.43989562988281,33.454505920410156,0.9663768410682678,0.9664683938026428,0.04679982736706734,0.04689914733171463,55.95510482788086,0,3072053,0,0,161947,0,0,0
lego,Lego,66,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.010517120361328125,-8.58306884765625e-05,-7.94343650341034e-05,33.34560012817383,33.356117248535156,0.9667918086051941,0.9668776392936707,0.047381266951560974,0.04746070131659508,56.067466735839844,0,3069789,0,0,169151,0,0,0
