scene,allocator,cam,camera_name,continuous_w16_no_t_cycles,continuous_w16_tile_tstop_cycles,continuous_w16_no_t_fps,continuous_w16_tile_tstop_fps,t_speedup,n_kvp_raw,n_kvp_retained,n_kvp_tstopped,t_stopped_fraction,producer_cycles_raw,producer_cycles_retained,no_t_core_cycles,with_t_core_cycles,no_t_core_imbalance,with_t_core_imbalance
drjohnson,atae_snugbox,15,IMG_6434,1226414,1213784,326.15413718369166,329.5479261549007,1.010405475768341,297830,294668,3162,0.010616794815834536,2639282,2613572,"[1225512, 1226054, 1226414, 1225900]","[1213242, 1213412, 1212850, 1213784]",0.0007357439415320114,0.0007697874101021823
drjohnson,atae_snugbox,16,IMG_6442,1107292,1095624,361.2416598331786,365.0887530758727,1.0106496389272233,268083,265154,2929,0.010925720765583792,2366772,2339526,"[1106806, 1107186, 1106644, 1107292]","[1095624, 1094998, 1094924, 1095518]",0.0005853753719572676,0.0006391141512655373
drjohnson,atae_snugbox,17,IMG_6450,1741126,1623638,229.73638898046437,246.36033401534087,1.0723609573069859,426456,397095,29361,0.0688488378636952,3018860,2798215,"[1739906, 1740290, 1741126, 1740574]","[1622768, 1623368, 1622346, 1623638]",0.0007009584745305015,0.0007960419708816226
drjohnson,atae_snugbox,18,IMG_6459,1452078,1403500,275.46729583397035,285.00178126113286,1.0346120413252582,354281,342112,12169,0.034348440926834915,2742634,2632471,"[1452078, 1451434, 1451950, 1451634]","[1403500, 1402852, 1402888, 1403152]",0.000443595215233225,0.0004618351676076796
drjohnson,atae_snugbox,19,IMG_6471,3053706,2425544,130.98837936592454,164.9114590376427,1.2589777798300092,754581,597531,157050,0.20812874959745872,4131283,3419620,"[3052690, 3052942, 3053706, 3052558]","[2425544, 2424364, 2424412, 2424776]",0.0003760267856850402,0.0004866432912923019
drjohnson,atae_snugbox,20,IMG_6483,2275420,1557858,175.79172196781255,256.76281150143336,1.460608091366479,560149,380759,179390,0.3202540752549768,4494535,3309740,"[2275374, 2275136, 2275054, 2275420]","[1557816, 1557578, 1557492, 1557858]",0.0001608617266001127,0.0002349639144217769
drjohnson,atae_snugbox,21,IMG_6491,1333342,1302112,299.9980500126749,307.1932368336979,1.0239841119657909,324593,316795,7798,0.024023931508073186,2664561,2592699,"[1332754, 1332854, 1333342, 1333138]","[1301548, 1301964, 1301696, 1302112]",0.00044110299754992793,0.00043323629045267047
drjohnson,atae_snugbox,22,IMG_6500,1071776,1061066,373.2123130206312,376.97937734316247,1.0100936228283632,259227,256542,2685,0.010357717367403858,2025178,2007200,"[1071656, 1071548, 1071252, 1071776]","[1060872, 1060812, 1060522, 1061066]",0.0004890075945492451,0.0005128118112626294
drjohnson,atae_snugbox,23,IMG_6508,1357396,1333812,294.68187618056925,299.8923386504245,1.017681652286829,330624,324762,5862,0.017730110336817654,2782492,2729788,"[1357042, 1357208, 1356938, 1357396]","[1333668, 1333544, 1333812, 1333768]",0.0003374729026943306,0.00020094504153114125
drjohnson,atae_snugbox,24,IMG_6516,1489580,1392678,268.53206944239315,287.2164276307948,1.0695796156756983,363681,339448,24233,0.06663257085192792,2947294,2748029,"[1489348, 1489182, 1489580, 1489386]","[1392448, 1392218, 1392424, 1392678]",0.0002672263649023012,0.00033035487294982483
drjohnson,atae_snugbox,25,IMG_6525,1557844,1506834,256.7651189721179,265.4572434654381,1.03385243497293,380726,367972,12754,0.033499156873972355,2877865,2759696,"[1557804, 1557516, 1557844, 1557052]","[1506804, 1506474, 1506834, 1506040]",0.0005084895932982099,0.0005270361583975977
drjohnson,atae_snugbox,26,IMG_6534,1274500,1248700,313.8485680659082,320.33314647233124,1.0206614879474654,309793,303378,6415,0.02070737557013877,2306945,2262303,"[1273704, 1273234, 1274500, 1273850]","[1247674, 1248196, 1248078, 1248700]",0.0009938594246291868,0.0008220086815653737
drjohnson,atae_snugbox,27,IMG_6543,1387176,1297658,288.3556232230085,308.2476276491957,1.0689842778297518,338002,315701,22301,0.06597889953313886,2676014,2491180,"[1387176, 1386384, 1386404, 1386668]","[1297658, 1297020, 1297594, 1297544]",0.0005711574158876955,0.0004917322695062792
drjohnson,atae_snugbox,28,IMG_6552,2561224,2296606,156.17532867097918,174.17005790283574,1.1152213309553314,631568,565414,66154,0.10474564892458135,3979038,3525493,"[2560924, 2560728, 2560812, 2561224]","[2296312, 2296606, 2296202, 2296104]",0.00019368024484931598,0.00021861197941389345
drjohnson,atae_snugbox,29,IMG_6560,2938026,2728760,136.14583397151694,146.58672803764347,1.0766890455738138,725707,673385,52322,0.07209796791267,4292795,3943574,"[2937214, 2936684, 2937988, 2938026]","[2728760, 2727276, 2728576, 2728148]",0.00045685448537827346,0.0005439503846872835
drjohnson,atae_snugbox,30,IMG_6569,2288026,1965516,174.8231881980362,203.5089004617617,1.1640841387198069,563297,482668,80629,0.14313763432079346,3763988,3231878,"[2288008, 2288002, 2287316, 2288026]","[1965448, 1964862, 1965516, 1965462]",0.0003103366584522156,0.00033276989724838986
drjohnson,atae_snugbox,31,IMG_6578,1587426,1566620,251.9802497880216,255.32675441396125,1.0132808211308422,388118,382917,5201,0.013400563746077223,2470517,2434240,"[1586580, 1587178, 1587304, 1587426]","[1566620, 1566376, 1566498, 1565778]",0.0005330403081804675,0.0005375664456387527
drjohnson,atae_snugbox,32,IMG_6589,2026484,1973800,197.38621178356206,202.6547775863816,1.0266916607559022,497678,484500,13178,0.0264789683289195,3077188,2978274,"[2025638, 2026484, 2024272, 2025054]","[1972660, 1972242, 1973800, 1971898]",0.0010921504402669744,0.0009641852330621245
garden,atae_snugbox,0,DSC07956,4298846,3962546,93.04822736148259,100.94520038379365,1.0848696772226745,1062324,978249,84075,0.07914252149061868,5442565,4966562,"[4297450, 4298846, 4297526, 4298362]","[3962054, 3961228, 3962546, 3961156]",0.0003247987573888227,0.0003508554056721456
garden,atae_snugbox,1,DSC07964,4390802,3901784,91.09953033637134,102.51720751328111,1.1253318994593242,1085226,962974,122252,0.1126511897061073,6013808,5247047,"[4388730, 4390802, 4389190, 4389894]","[3901784, 3899726, 3900166, 3900908]",0.00047201897917239035,0.000527604914673108
garden,atae_snugbox,2,DSC07972,4286772,3759180,93.3103043502197,106.40618432743311,1.1403476290041976,1059252,927352,131900,0.12452183238738279,5863814,5149330,"[4286772, 4285358, 4286410, 4284492]","[3757712, 3756922, 3758818, 3759180]",0.0005319945736553487,0.0006008262558412924
garden,atae_snugbox,3,DSC07980,4235132,3428958,94.44805970628542,116.6535139829651,1.2351075749542573,1046398,844858,201540,0.19260357913528123,6003210,4817128,"[4234850, 4233650, 4235132, 4233736]","[3428958, 3427558, 3428706, 3427506]",0.00034999534756521795,0.0004235481080059343
garden,atae_snugbox,4,DSC07988,4161930,3802558,96.10925700336142,105.1923468359983,1.094507960167866,1028180,938342,89838,0.08737575132758856,5206550,4700109,"[4161930, 4160532, 4161742, 4161676]","[3802400, 3801168, 3802346, 3802558]",0.000335938983099722,0.0003655857077555194
garden,atae_snugbox,5,DSC07996,4324860,3753928,92.48854298173814,106.55505379964666,1.1520892249398498,1068878,926138,142740,0.13354190094660007,5890903,5103170,"[4324458, 4324014, 4323716, 4324860]","[3753928, 3752732, 3753080, 3753468]",0.00026455381288182815,0.0003186527489661104
garden,atae_snugbox,6,DSC08004,4199680,3552906,95.2453520268211,112.58389611208402,1.1820408420599926,1037515,875823,161692,0.1558454576560339,5633729,4813124,"[4198492, 4199680, 4198036, 4199032]","[3551292, 3551714, 3552906, 3552256]",0.0003915395076223978,0.0004543865190783217
garden,atae_snugbox,7,DSC08012,4084846,3408578,97.92290823203616,117.35098918082555,1.1984017968783462,1008933,839886,169047,0.16755027340764947,5581699,4711607,"[4084778, 4084276, 4084846, 4084028]","[3408578, 3407882, 3408570, 3408146]",0.00020027019338070287,0.00020420773560027392
garden,atae_snugbox,8,DSC08020,4224692,3489892,94.68145843531316,114.6167273944294,1.210550928223567,1043917,860218,183699,0.17597088657431578,5630768,4701778,"[4224202, 4224462, 4224316, 4224692]","[3489518, 3489402, 3489676, 3489892]",0.00011599230947316293,0.00014041635455072212
garden,atae_snugbox,9,DSC08028,4225988,3721284,94.65242210815553,107.4897804091276,1.1356263053290208,1044120,917944,126176,0.12084434739301995,5379338,4728447,"[4225988, 4224358, 4224830, 4225744]","[3721038, 3720122, 3721284, 3719660]",0.0003857778156455388,0.000436497419988464
garden,atae_snugbox,10,DSC08036,4062622,3489400,98.4585816745934,114.63288817561758,1.1642752335645097,1003373,860067,143306,0.14282425379195973,5288116,4554313,"[4062622, 4062446, 4061298, 4062602]","[3488064, 3489400, 3489238, 3489370]",0.0003259283912676793,0.00038291576598343716
garden,atae_snugbox,11,DSC08044,4069774,3396114,98.28555590556134,117.781676351265,1.198362010226983,1005101,836684,168417,0.16756226488681236,5486037,4654255,"[4069774, 4068880, 4068382, 4069580]","[3396114, 3395220, 3395890, 3394720]",0.00034208584880296986,0.00041054505894001623
garden,atae_snugbox,12,DSC08052,4145476,3517182,96.49072868833399,113.72741018235621,1.1786356236327833,1024070,866995,157075,0.15338306951673225,5422221,4633561,"[4144474, 4145434, 4144736, 4145476]","[3517182, 3516430, 3517138, 3516170]",0.00024173528297744527,0.0002877673293087613
garden,atae_snugbox,13,DSC08060,4078524,3617078,98.07469564970073,110.58650103757785,1.1275742463944654,1007257,891901,115356,0.11452489285256891,5222107,4632544,"[4078524, 4077524, 4077922, 4077142]","[3615716, 3616522, 3617078, 3616100]",0.00033891006327465596,0.00037662242136693474
garden,atae_snugbox,14,DSC08068,4009772,3496904,99.75629537041009,114.38689766719361,1.1466634485819456,990067,861851,128216,0.1295023468108724,5054624,4462071,"[4008762, 4009772, 4008844, 4008694]","[3496904, 3495988, 3495880, 3495844]",0.0002688937789753002,0.00030319030569019554
garden,atae_snugbox,15,DSC08076,4059756,3397358,98.52808888021842,117.73854860158983,1.1949744477914896,1002557,836956,165601,0.1651786382220662,5349745,4523387,"[4058734, 4059030, 4059756, 4058392]","[3396624, 3395986, 3396328, 3397358]",0.0003360451818167036,0.0004039364371275291
garden,atae_snugbox,16,DSC08084,3922062,3461216,101.98716899426883,115.56632120041048,1.1331456921498109,968141,852926,115215,0.1190064257169152,4901940,4350745,"[3921212, 3922062, 3921020, 3920962]","[3460170, 3460092, 3461216, 3460338]",0.0002805182140476381,0.0003248128713746809
garden,atae_snugbox,17,DSC08092,3886410,3387208,102.92274875785108,118.09136019990505,1.1473786079862824,959356,834553,124803,0.1300903939726233,5006681,4351304,"[3886030, 3886282, 3886410, 3885974]","[3386768, 3386810, 3387208, 3387062]",0.00011219260897736437,0.00012990993108278156
garden,atae_snugbox,18,DSC08100,3977782,3442832,100.55855247974877,116.18342109054406,1.1553808027809664,982204,848466,133738,0.13616112335115718,5135112,4485014,"[3977396, 3977782, 3977522, 3977564]","[3442440, 3442612, 3442572, 3442832]",9.704427280402136e-05,0.00011386696272076975
garden,atae_snugbox,19,DSC08108,4066348,3445916,98.36836394720767,116.07944012564438,1.1800484979900845,1004361,849252,155109,0.15443550675504125,5408399,4613577,"[4066106, 4066064, 4066258, 4066348]","[3445624, 3445670, 3445916, 3445822]",6.984418352887246e-05,8.474187682361908e-05
garden,atae_snugbox,20,DSC08116,3984408,3604360,100.39132538635602,110.97670598941282,1.1054411878946608,983802,888791,95011,0.09657532714916213,4730016,4269140,"[3984408, 3983540, 3983828, 3984056]","[3603792, 3603492, 3604012, 3604360]",0.00021787378280594324,0.000240849254449468
garden,atae_snugbox,21,DSC08124,3795432,3398898,105.38984758520242,117.68520267451392,1.1166654603933392,936584,837450,99134,0.10584635227593041,4537874,4043275,"[3794928, 3794774, 3795210, 3795432]","[3398388, 3398898, 3398242, 3398672]",0.0001733821051749552,0.0001930234953141781
garden,atae_snugbox,22,DSC08132,3966328,3465418,100.84894643105663,115.42619101072367,1.144545333347954,979374,854148,125226,0.12786330860325065,4994203,4382699,"[3966110, 3966328, 3966270, 3966276]","[3465376, 3465370, 3465204, 3465418]",5.496381212864759e-05,6.175436652428533e-05
garden,atae_snugbox,23,DSC08140,3919514,3544734,102.05346887394712,112.84344608086249,1.105728666805464,967621,873926,93695,0.09683026722239389,4705007,4285478,"[3919514, 3918850, 3919496, 3919076]","[3544296, 3544734, 3544070, 3544716]",0.00016942086132137044,0.00018733491815664698
hotdog,atae_snugbox,0,r_0,407260,392174,982.1735500662967,1019.9554279477986,1.0384676189650512,99767,96016,3751,0.03759760241362374,617515,587724,"[407048, 407260, 406984, 407080]","[391950, 392082, 392174, 392150]",0.0006779777593817628,0.0005712988632682886
hotdog,atae_snugbox,1,r_1,407600,392764,981.3542688910696,1018.423277082421,1.037773319346987,99832,96157,3675,0.03681184389774822,619129,590351,"[407434, 407222, 407216, 407600]","[392544, 392648, 392716, 392764]",0.0009426366332161584,0.0005602697444151293
hotdog,atae_snugbox,2,r_2,408462,394028,979.2832625801176,1015.1562833098155,1.0366319144832348,100084,96457,3627,0.03623955877063267,619934,591139,"[408302, 408414, 408296, 408462]","[394028, 393748, 393878, 393788]",0.00040649560384799514,0.0007109116044894068
hotdog,atae_snugbox,3,r_3,409892,394600,975.8668136972666,1013.6847440446021,1.0387531677648252,100431,96606,3825,0.03808584998655794,621386,591386,"[409892, 409538, 409874, 409722]","[394274, 394600, 394506, 394446]",0.0008639277229281293,0.000826453614023346
hotdog,atae_snugbox,4,r_4,410998,395728,973.2407456970593,1010.7952937371124,1.0385871103384143,100660,96838,3822,0.03796940194714882,619800,589461,"[410998, 410386, 410800, 410446]","[395030, 395728, 395222, 395498]",0.001490293005728618,0.0017654371417117406
hotdog,atae_snugbox,5,r_5,411952,395688,970.9869110964385,1010.897474778108,1.0411030913244779,100905,96848,4057,0.040206134482929486,622484,590517,"[411444, 411850, 411952, 411424]","[395156, 395674, 395240, 395688]",0.0012825884967844195,0.0013453385410410442
hotdog,atae_snugbox,6,r_6,414174,397934,965.7776683229754,1005.1918157282363,1.0408107877185664,101461,97408,4053,0.0399463833394112,622897,591209,"[414174, 413584, 413918, 413890]","[397770, 397426, 397588, 397934]",0.0014254943626530142,0.0012774105781162971
hotdog,atae_snugbox,7,r_7,416276,399318,960.900940722021,1001.7079119899429,1.0424674069288136,101989,97749,4240,0.04157311082567728,628197,595023,"[415652, 416216, 416276, 415870]","[399244, 398960, 399318, 398652]",0.001499987379913871,0.0016689909746681753
hotdog,atae_snugbox,8,r_8,418184,401294,956.5167486082681,996.7754314791649,1.0420888425942076,102488,98276,4212,0.04109749434080087,629388,596470,"[418140, 418184, 417818, 417886]","[401270, 401294, 401046, 401026]",0.0008755834232441084,0.0006680642837378696
hotdog,atae_snugbox,9,r_9,419758,403142,952.930021583865,992.206220140794,1.0412162463846486,102901,98743,4158,0.04040777057560179,634074,601661,"[419574, 419750, 419758, 419434]","[402782, 402932, 403132, 403142]",0.000772110602460745,0.0008933068980662387
hotdog,atae_snugbox,10,r_10,419974,402608,952.439912946992,993.5222350276199,1.043133767833724,102975,98625,4350,0.04224326292789512,637906,603393,"[419880, 419974, 419968, 419908]","[402562, 402478, 402482, 402608]",0.0002238454989790026,0.0003229552893244645
hotdog,atae_snugbox,11,r_11,421654,403344,948.6450976392966,991.7093101670039,1.0453954936728946,103326,98787,4539,0.043928923988154,642031,606710,"[421196, 421206, 421200, 421654]","[403344, 403098, 403212, 402978]",0.0010870751980707975,0.0009078326611402974
hotdog,atae_snugbox,12,r_12,422380,404096,947.014536673138,989.8637947418435,1.0452466740576496,103551,98968,4583,0.04425838475726936,645930,610101,"[421954, 422172, 422380, 422350]","[403564, 404016, 403852, 404096]",0.0010089670167261152,0.0013172164146953813
