scene,camera,profile,delta_psnr_vs_standard,delta_ssim_vs_standard,delta_lpips_vs_standard,guard_risky_gaussians,guard_repaired_gaussians,guard_dropped_gaussians,guard_quantized_non_psd_before,guard_final_non_psd,guard_raw_kvp,guard_final_kvp
bicycle,14,integer_pd,-0.0532436370849609,-0.000538170337677,-4.881620407104492e-05,1652,496,0,496,0,811969,811058
bicycle,14,opacity_prune,-0.05340576171875,-0.0005373358726501,-4.404783248901367e-05,1652,0,1652,496,0,811969,810915
bicycle,14,no_guard,-0.0425548553466796,-0.0005263686180114,2.9325485229492188e-05,1652,0,0,496,496,811969,811969
bicycle,15,wide_control,-0.0053577423095703,-0.0004286766052246,-0.0005303621292114,2305,0,0,6,6,906542,906542
bicycle,15,eigen_floor,-0.003814697265625,-0.0005547404289245,-0.0001810193061828,2305,2305,0,660,0,906542,903720
bicycle,15,integer_pd,-0.003814697265625,-0.0005547404289245,-0.0001810193061828,2305,660,0,660,0,906542,903720
bicycle,15,opacity_prune,-0.0089359283447265,-0.0021955966949462,-0.0002350211143493,2305,0,2305,660,0,906542,900273
bicycle,15,no_guard,-0.1114730834960937,-0.0011864900588989,-2.199411392211914e-05,2305,0,0,660,660,906542,906542
bicycle,16,wide_control,-0.006601333618164,-0.0002458095550537,-0.0002796351909637,1822,0,0,1,1,766614,766614
bicycle,16,eigen_floor,-0.0222148895263671,-0.0008453130722045,-2.5570392608642575e-05,1822,1822,0,415,0,766614,765766
bicycle,16,integer_pd,-0.032318115234375,-0.0010344386100769,-2.944469451904297e-05,1822,415,0,415,0,766614,765922
bicycle,16,opacity_prune,-0.0222148895263671,-0.0008453130722045,-2.5570392608642575e-05,1822,0,1822,415,0,766614,765766
bicycle,16,no_guard,-0.0335922241210937,-0.0003706812858581,-0.0004788339138031,1822,0,0,415,415,766614,766614
bicycle,17,wide_control,-0.0236339569091796,-0.0003303289413452,-0.000275045633316,2013,0,0,3,3,933454,933454
bicycle,17,eigen_floor,-0.0252132415771484,-0.0004473328590393,-0.0001079738140106,2013,2013,0,617,0,933454,933829
bicycle,17,integer_pd,-0.0252132415771484,-0.0004473328590393,-0.0001079738140106,2013,617,0,617,0,933454,933829
bicycle,17,opacity_prune,-0.0252132415771484,-0.0004473328590393,-0.0001079738140106,2013,0,2013,617,0,933454,933829
bicycle,17,no_guard,-0.0256366729736328,-0.0004907250404357,-0.0001187622547149,2013,0,0,617,617,933454,933454
bicycle,18,wide_control,-0.0284595489501953,-0.0003674030303955,-0.000101625919342,1853,0,0,6,6,882677,882677
bicycle,18,eigen_floor,-0.0200099945068359,-0.0005802512168884,4.589557647705078e-06,1853,1853,0,629,0,882677,882812
bicycle,18,integer_pd,-0.0200099945068359,-0.0005802512168884,4.589557647705078e-06,1853,629,0,629,0,882677,882812
bicycle,18,opacity_prune,-0.0241622924804687,-0.0006772875785827,1.6987323760986328e-05,1853,0,1853,629,0,882677,881842
bicycle,18,no_guard,-0.0228824615478515,-0.0005956292152404,5.4836273193359375e-06,1853,0,0,629,629,882677,882677
bicycle,19,wide_control,-0.0227851867675781,-0.0003730654716491,-0.0003113150596618,1599,0,0,4,4,771787,771787
bicycle,19,eigen_floor,0.00335693359375,-0.0005081295967102,5.0067901611328125e-06,1599,1599,0,419,0,771787,771719
bicycle,19,integer_pd,0.0033683776855468,-0.0005080103874206,5.036592483520508e-06,1599,419,0,419,0,771787,771737
bicycle,19,opacity_prune,0.00335693359375,-0.0005081295967102,5.0067901611328125e-06,1599,0,1599,419,0,771787,771719
bicycle,19,no_guard,-0.1184062957763671,-0.0008918642997741,0.0002894401550292,1599,0,0,419,419,771787,771787
bicycle,20,wide_control,-0.0157432556152343,-0.0004776120185852,-0.000196635723114,2609,0,0,7,7,887429,887429
bicycle,20,eigen_floor,-0.0010719299316406,-0.000277817249298,1.6957521438598633e-05,2609,2609,0,789,0,887429,887623
bicycle,20,integer_pd,-0.002603530883789,-0.0003873109817504,1.3560056686401367e-05,2609,789,0,789,0,887429,887809
bicycle,20,opacity_prune,-0.0139923095703125,-0.0007043480873107,3.069639205932617e-06,2609,0,2609,789,0,887429,884364
bicycle,20,no_guard,-0.0009422302246093,-0.0002464056015014,2.443790435791016e-05,2609,0,0,789,789,887429,887429
bicycle,21,wide_control,-0.0185432434082031,-0.0002773404121398,-0.0003854036331176,2259,0,0,2,2,765140,765140
bicycle,21,eigen_floor,-0.0490226745605468,-0.0006565451622009,2.250075340270996e-05,2259,2259,0,619,0,765140,762457
bicycle,21,integer_pd,-0.0440597534179687,-0.000598132610321,2.0772218704223636e-05,2259,619,0,619,0,765140,762997
bicycle,21,opacity_prune,-0.0445804595947265,-0.0006489753723144,2.1517276763916016e-05,2259,0,2259,619,0,765140,762181
bicycle,21,no_guard,-0.0459403991699218,-0.000648021697998,2.3245811462402344e-05,2259,0,0,619,619,765140,765140
bicycle,22,wide_control,-0.0257110595703125,-0.0003647804260253,-0.0002270340919494,2289,0,0,2,2,888157,888157
bicycle,22,eigen_floor,-0.0344772338867187,-0.0006639957427978,0.0001202523708343,2289,2289,0,541,0,888157,887299
bicycle,22,integer_pd,-0.0344772338867187,-0.0006639957427978,0.0001202523708343,2289,541,0,541,0,888157,887314
bicycle,22,opacity_prune,-0.0340328216552734,-0.0006422400474548,0.0001255571842193,2289,0,2289,541,0,888157,887260
bicycle,22,no_guard,-0.038177490234375,-0.000666856765747,0.0001529455184936,2289,0,0,541,541,888157,888157
bicycle,23,wide_control,-0.0074214935302734,-0.0003262758255004,-0.0003872215747833,2168,0,0,1,1,902124,902124
bicycle,23,eigen_floor,-0.0459880828857421,-0.0009698271751403,-0.0002124011516571,2168,2168,0,615,0,902124,899829
bicycle,23,integer_pd,-0.0394439697265625,-0.0008927583694458,-0.0001893639564514,2168,615,0,615,0,902124,900779
bicycle,23,opacity_prune,-0.0144691467285156,-0.0007716417312622,-0.0002674460411071,2168,0,2168,615,0,902124,898113
bicycle,23,no_guard,-0.0379772186279296,-0.0008741617202758,-0.0002147555351257,2168,0,0,615,615,902124,902124
bicycle,24,wide_control,-0.0243549346923828,-0.0002424716949462,-0.0001800954341888,2392,0,0,3,3,908947,908947
bicycle,24,eigen_floor,-0.0292587280273437,-0.0003862380981445,1.4007091522216795e-05,2392,2392,0,602,0,908947,909329
bicycle,24,integer_pd,-0.0229568481445312,-0.0003823637962341,-6.407499313354492e-06,2392,602,0,602,0,908947,909593
bicycle,24,opacity_prune,-0.0368251800537109,-0.0003941655158996,3.9637088775634766e-06,2392,0,2392,602,0,908947,909026
bicycle,24,no_guard,-0.0229167938232421,-0.0003870725631713,3.933906555175781e-06,2392,0,0,602,602,908947,908947
drjohnson,1,wide_control,-0.0026988983154296,-2.6166439056396484e-05,-0.0001828074455261,1160,0,0,0,0,223815,223815
drjohnson,1,eigen_floor,-0.0347824096679687,0.0010275840759277,-0.0014022290706634,1160,1160,0,233,0,223815,214817
drjohnson,1,integer_pd,-0.0479335784912109,-2.956390380859375e-05,-0.0013187527656555,1160,233,0,233,0,223815,216345
drjohnson,1,opacity_prune,-0.1257781982421875,-0.0057361721992492,-0.0022135376930236,1160,0,1160,233,0,223815,205165
drjohnson,1,no_guard,-0.0032329559326171,-0.0015302896499633,0.000787079334259,1160,0,0,233,233,223815,223815
drjohnson,2,wide_control,-0.001800537109375,-0.000210702419281,-0.0007098615169525,260,0,0,0,0,1103607,1103607
drjohnson,2,eigen_floor,-0.0238323211669921,-0.0004228353500366,-0.0004210770130157,260,260,0,69,0,1103607,1102622
drjohnson,2,integer_pd,-0.1316757202148437,-0.0004735589027404,0.0018697381019592,260,69,0,69,0,1103607,1103268
drjohnson,2,opacity_prune,-0.0105438232421875,-0.0004518628120422,-0.0003118813037872,260,0,260,69,0,1103607,1101244
drjohnson,2,no_guard,-0.1177577972412109,-0.0020067691802978,0.0006919503211975,260,0,0,69,69,1103607,1103607
drjohnson,3,wide_control,-0.0050373077392578,-0.0001866221427917,-0.0011021494865417,785,0,0,1,1,353275,353275
drjohnson,3,eigen_floor,0.0071945190429687,-0.0003164410591125,-0.0009578168392181,785,785,0,165,0,353275,353178
drjohnson,3,integer_pd,0.0071945190429687,-0.0003164410591125,-0.0009578168392181,785,165,0,165,0,353275,353178
drjohnson,3,opacity_prune,0.0059337615966796,-0.0003159642219543,-0.0009041726589202,785,0,785,165,0,353275,352640
drjohnson,3,no_guard,0.0050315856933593,-0.0003167986869812,-0.0008927881717681,785,0,0,165,165,353275,353275
drjohnson,4,wide_control,-0.0081977844238281,-0.000163972377777,-0.0008728504180908,831,0,0,0,0,363649,363649
drjohnson,4,eigen_floor,0.0004653930664062,-0.0001986026763916,-0.0006100237369537,831,831,0,145,0,363649,363378
drjohnson,4,integer_pd,0.000955581665039,-0.0002091526985168,-0.0005883872509002,831,145,0,145,0,363649,363688
drjohnson,4,opacity_prune,-0.0007247924804687,-0.0001819729804992,-0.0005443394184112,831,0,831,145,0,363649,361504
drjohnson,4,no_guard,0.0017642974853515,-0.000203251838684,-0.0005965232849121,831,0,0,145,145,363649,363649
drjohnson,5,wide_control,-0.0018272399902343,-0.0003044009208679,-0.0008802115917205,715,0,0,0,0,396901,396901
drjohnson,5,eigen_floor,0.0118446350097656,-0.0005930066108703,-0.0007690638303756,715,715,0,153,0,396901,397070
drjohnson,5,integer_pd,0.0119132995605468,-0.0005930662155151,-0.0007615834474563,715,153,0,153,0,396901,397137
drjohnson,5,opacity_prune,-0.0089645385742187,-0.0009039044380187,-0.0009176880121231,715,0,715,153,0,396901,395453
